brand,model,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,selling_price
volkswagen,vento,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,153.0,5.0,3800.0,535000
maruti,zen,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90.0,5.0,3500.0,175000
hyundai,i20,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000.0,525000
maruti,swift,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000.0,600000
hyundai,xcent,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,114.0,5.0,4000.0,565000
maruti,alto,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,62.0,5.0,3000.0,120000
hyundai,i20,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,2750.0,725000
maruti,wagon,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,90.0,5.0,3500.0,185000
tata,manza,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,200.0,5.0,3000.0,200000
maruti,swift,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200.0,615000
maruti,baleno,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000.0,610000
mahindra,scorpio,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,290.0,8.0,2800.0,625000
ford,freestyle,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,120.0,5.0,4250.0,400000
hyundai,verna,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151.0,5.0,4850.0,866000
volkswagen,passat,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,250.0,5.0,4500.0,700000
mahindra,xuv500,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,360.0,7.0,2800.0,1700000
tata,indigo,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135.0,5.0,2500.0,375000
hyundai,verna,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8,5.0,2750.0,522000
hyundai,i20,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,219.6,5.0,2750.0,451999
toyota,corolla,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,173.0,5.0,4000.0,300000
maruti,celerio,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,90.0,5.0,3500.0,475000
maruti,vitara,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,780000
maruti,swift,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,5.0,4000.0,595000
maruti,swift,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,,,300000
nissan,terrano,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,200.0,5.0,1900.0,400000
hyundai,creta,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,2750.0,1140000
maruti,swift,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,370000
renault,kwid,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91.0,5.0,4250.0,350000
maruti,celerio,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,90.0,5.0,3500.0,360000
maruti,alto,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,5.0,3000.0,105000
hyundai,santro,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,96.1,5.0,3000.0,135000
maruti,ertiga,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200.0,7.0,1750.0,700000
honda,amaze,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,109.0,5.0,4500.0,690000
audi,q5,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,400.0,5.0,3000.0,3975000
lexus,es,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,202.0,5.0,5200.0,5150000
jaguar,xf,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430.0,5.0,2500.0,3200000
land,rover,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,382.0,7.0,2250.0,4500000
mercedes-benz,s-class,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,620.0,5.0,2400.0,6000000
bmw,5,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,400.0,5.0,2500.0,3790000
bmw,x1,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,,,2150000
bmw,x4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400.0,5.0,2500.0,5800000
skoda,superb,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,250.0,5.0,5000.0,1864999
mercedes-benz,e-class,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,500.0,5.0,1800.0,2700000
mg,hector,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,250.0,5.0,3600.0,1750000
toyota,corolla,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173.0,5.0,4000.0,625000
volvo,xc40,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,400.0,5.0,400.0,3400000
audi,q7,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,550.0,7.0,2750.0,2650000
maruti,ciaz,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,200.0,5.0,1750.0,535000
mercedes-benz,s-class,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,490.0,5.0,1600.0,5850000
bmw,5,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,250.0,5.0,2750.0,975000
jaguar,xe,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,430.0,5.0,2500.0,2625000
tata,nexon,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,170.0,5.0,4000.0,811000
volkswagen,vento,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,153.0,5.0,3800.0,375000
hyundai,elantra,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,177.5,5.0,4700.0,550000
skoda,rapid,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153.0,5.0,3800.0,645000
mercedes-benz,cla,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,300.0,5.0,4000.0,2550000
mercedes-benz,new,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,300.0,5.0,1400.0,2700000
honda,city,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,146.0,5.0,4800.0,875000
toyota,glanza,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,113.0,5.0,4200.0,894999
maruti,alto,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500.0,175000
maruti,swift,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200.0,340000
tata,nexon,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,260.0,5.0,2750.0,1025000
bmw,3,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,400.0,5.0,2500.0,2150000
toyota,camry,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,213.0,5.0,4500.0,1900000
bmw,5,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,400.0,5.0,2500.0,2900000
toyota,camry,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,224.0,5.0,4000.0,450000
maruti,ertiga,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,130.0,7.0,4000.0,850000
volvo,xc90,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,640.0,4.0,1740.0,10000000
ford,figo,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,112.0,5.0,4000.0,575000
ford,figo,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,160.0,5.0,2000.0,160000
maruti,swift,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200.0,515000
maruti,wagon,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,90.0,5.0,3500.0,390000
hyundai,i20,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,114.7,5.0,4000.0,550000
maruti,800,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,4.0,2500.0,40000
maruti,ritz,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,113.0,5.0,4500.0,220000
hyundai,grand,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,114.0,5.0,4000.0,425000
volkswagen,ameo,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,95.0,5.0,4300.0,480000
maruti,swift,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,114.0,5.0,4000.0,487000
hyundai,xcent,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,114.0,5.0,4000.0,386000
honda,city,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,128.51,5.0,4600.0,100000
toyota,corolla,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,205.0,5.0,2800.0,300000
daewoo,matiz,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,71.0,5.0,3500.0,100000
toyota,fortuner,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,343.0,7.0,3400.0,1750000
mahindra,kuv,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,115.0,6.0,3600.0,450000
tata,zest,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,190.0,5.0,3000.0,490000
honda,city,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,146.0,5.0,4800.0,345000
maruti,zen,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,78.0,5.0,4500.0,85000
hyundai,getz,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,115.0,5.0,3200.0,65000
maruti,ciaz,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,200.0,5.0,1750.0,800000
tata,tigor,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,114.0,5.0,3500.0,520000
maruti,ertiga,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,7.0,1750.0,580000
toyota,etios,2012,120000,Diesel,Individual,Manual,First Owner,,,,,,,235000
honda,city,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,145.0,5.0,4600.0,600000
maruti,wagon,2016,50000,CNG,Individual,Manual,First Owner,20.0,998.0,58.16,77.0,5.0,3500.0,360000
maruti,swift,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,5.0,4000.0,550000
maruti,omni,2003,90000,Petrol,Individual,Manual,Second Owner,,,,,,,40000
maruti,wagon,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90.0,5.0,3500.0,420000
maruti,swift,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200.0,550000
maruti,swift,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,113.0,5.0,4200.0,700000
maruti,swift,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,5.0,4200.0,500000
tata,hexa,2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,320.0,7.0,3000.0,1250000
hyundai,i20,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,113.7,5.0,4000.0,320000
maruti,swift,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000.0,700000
maruti,wagon,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500.0,290000
toyota,corolla,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,173.0,5.0,4000.0,550000
maruti,baleno,2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,115.0,5.0,4000.0,830000
tata,safari,2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320.0,7.0,3000.0,800000
datsun,go,2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,104.0,5.0,4000.0,329000
maruti,vitara,2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,775000
hyundai,xcent,2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75,5.0,4000.0,524000
maruti,alto,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500.0,245000
hyundai,i20,2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,111.83,5.0,4000.0,275000
tata,zest,2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,140.0,5.0,4000.0,520000
maruti,swift,2008,120000,Petrol,Individual,Manual,Second Owner,,,,,,,130000
nissan,sunny,2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,134.0,5.0,4000.0,550000
ford,ecosport,2018,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,150.0,5.0,4500.0,910000
maruti,wagon,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500.0,350000
mahindra,ssangyong,2013,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,340.0,7.0,3250.0,900000
mahindra,quanto,2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,240.0,7.0,2800.0,300000
maruti,ritz,2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,190.0,5.0,2000.0,250000
hyundai,creta,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,2750.0,1100000
renault,kwid,2016,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386.0,270000
maruti,ertiga,2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,7.0,1750.0,640000
mahindra,xuv500,2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330.0,7.0,2800.0,650000
maruti,eeco,2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101.0,5.0,3000.0,409999
hyundai,santro,2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,96.1,5.0,3000.0,165000
hyundai,accent,2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,122.62,5.0,3500.0,80000
mahindra,xuv500,2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330.0,7.0,2800.0,535000
toyota,innova,2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,200.0,7.0,3400.0,700000
maruti,swift,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000.0,550000
honda,amaze,2019,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,110.0,5.0,4800.0,680000
hyundai,i10,2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.8,5.0,4000.0,200000
maruti,swift,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,5.0,2000.0,500000
maruti,ertiga,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,7.0,1750.0,1000000
hyundai,getz,2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,115.76,5.0,3200.0,110000
hyundai,i20,2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,111.83,5.0,4000.0,320000
tata,indica,2005,110000,Diesel,Individual,Manual,Second Owner,,,,,,,75000
maruti,swift,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,113.0,5.0,4200.0,350000
tata,indica,2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,135.4,5.0,2500.0,170000
hyundai,i20,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,2750.0,800000
maruti,ignis,2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,190.0,5.0,2000.0,500000
tata,hexa,2017,50000,Diesel,Individual,Automatic,First Owner,17.6,2179.0,153.86,400.0,7.0,2500.0,1380000
mahindra,marazzo,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497.0,121.0,300.0,8.0,2500.0,1300000
hyundai,verna,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,259.9,5.0,2750.0,530000
maruti,swift,2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000.0,360000
